rank,team,indice_final,games_played,wins_score,sos_nonconf,sos_conf,mov_capado,fcs_adjustment,contrib_wins,contrib_sos_nonconf,contrib_sos_conf,contrib_mov,contrib_fcs
15,Oklahoma,0.9885297934687677,1,0.8133308451100879,-0.16031864518567243,0.0,1.0,0.0,0.6296527609962552,-0.1769976577370665,0.3349216813809868,0.2009530088285921,0.0
16,SMU,0.9783118008212742,1,1.3813007315672106,0.0,0.7085024385573686,0.125,0.0,0.5175658687822939,0.020264341585964272,0.27530099403313507,0.16518059641988103,0.0
17,Iowa,0.9760427076589985,1,0.8753437412320281,-0.1307886946514152,0.0,1.0,0.0,0.6032777489808326,-0.14066291279488324,0.3208924196706557,0.1925354518023934,0.0
18,Louisville,0.8572456389431082,1,-0.6650350566762573,0.04582915991949318,0.0,0.0,0.0,0.4216988030854872,0.07665423748699364,0.22430787398164212,0.13458472438898528,0.0
19,Auburn,0.7806570866104008,1,1.1855420780628358,0.06156765622039798,0.0,0.041666666666666664,0.0,0.3698617029275119,0.09601946629777242,0.19673494836569783,0.11804096901941868,0.0
20,Clemson,0.7108119153037395,1,-1.0,0.0,0.0,0.0,0.0,0.37305443637626934,0.020264341585964272,0.19843321083844115,0.11905992650306468,0.0
21,Virginia,0.6458874523639107,1,1.2771564052924902,0.0,0.4238546843083011,1.0,0.0,0.33798030122486755,0.020264341585964272,0.17977675597067425,0.10786605358240454,0.0
22,James Madison,0.5931398230358039,1,1.0885769498027809,0.02134616657275282,0.0,0.2916666666666667,0.0,0.2952952559655191,0.04652945561026856,0.15707194466251018,0.0942431667975061,0.0
23,Florida,0.5829778791076928,1,0.9329079826244608,-0.10337715113120916,0.0,1.0,0.0,0.37271141184617435,-0.10693473430969382,0.19825075098200765,0.11895045058920459,0.0
24,TCU,0.5780934088810753,1,-1.515848383170436,0.004065668670186213,0.0,0.0,0.0,0.29865340625901615,0.025266890912258196,0.15885819481862562,0.09531491689117537,0.0
25,Pittsburgh,0.5233781928372373,1,1.0140048714006502,-0.06475958504730939,0.0,1.0,0.0,0.3148440556420015,-0.059418250585191096,0.16747024236276678,0.10048214541766007,0.0
26,South Carolina,0.5227721853287389,1,0.7395975825841968,-0.1954297225789539,0.0,1.0,0.0,0.40137557725850703,-0.22019962789445494,0.2134976474779293,0.12809858848675756,0.0
27,Illinois,0.47564846010424944,1,0.933911791752556,-0.08801819440354475,0.0,0.7916666666666666,0.0,0.30451946393291873,-0.08803650504817459,0.16197843826219083,0.0971870629573145,0.0
28,Boise State,0.4526768047961784,1,-0.6812500000000001,0.03794642857142857,0.0,0.0,0.0,0.2083784285194945,0.06695503285583748,0.110839589638029,0.0665037537828174,0.0
29,Duke,0.4507036904838175,1,1.1638428332525468,0.03635373012026037,0.0,0.5833333333333334,0.0,0.20837118990165585,0.06499531768713537,0.11083573930939142,0.06650144358563485,0.0
30,Georgia Tech,0.41004254191891565,1,-1.6030357679277292,0.005590980008603673,0.0,0.0,0.0,0.20685340250073883,0.027143690481377842,0.11002840558549938,0.06601704335129963,0.0
31,Nebraska,0.389613355447759,1,1.0256337319925029,-0.05922203238452241,0.0,1.0,0.0,0.2388993772157689,-0.052604640675047255,0.12707413681689836,0.07624448209013901,0.0
32,South Florida,0.371612008943609,1,0.9105335537858492,-0.07236497438769088,0.0,0.4166666666666667,0.0,0.2379108733011271,-0.06877620333720072,0.12654833686230166,0.07592900211738099,0.0
33,Florida State,0.3363030097464144,2,-0.0029627841329884497,-0.12125004314422136,0.24370793528073997,0.7083333333333334,0.0,0.25133072394573963,-0.12892620266378454,0.13368655529028706,0.08021193317417223,0.0
34,NC State,0.3187726552251059,1,-1.5,0.0,0.0,0.0,0.0,0.16126311196597307,0.020264341585964272,0.08577825104573036,0.05146695062743822,0.0
35,North Dakota State,0.29079901107987616,1,1.0677260028934301,-0.039178093860271386,0.0,1.0,0.05,0.14518183707775997,-0.02794183627682849,0.07722438142434042,0.04633462885460425,0.05
36,Houston,0.27407066824357523,1,0.9301715587293193,-0.07194211489080028,0.0,0.5416666666666666,0.0,0.18493504334327165,-0.06825590134928931,0.09836970390599556,0.05902182234359733,0.0
